provider,condition,accuracy
ALL,B,0.26666666666666666
ALL,D,1.0
ALL,O,1.0
ALL,T_factlocked,1.0
ALL,T_free_case_hint_no_sections,1.0
ALL,T_free_schema_prompt,0.8333333333333334
ALL,T_oracle_contract_private_prose,1.0
ALL,T_oracle_text,1.0
ALL,T_self_contract_private_prose,1.0
ALL,eta,
anthropic_sonnet_4_6,B,0.26666666666666666
anthropic_sonnet_4_6,D,1.0
anthropic_sonnet_4_6,O,1.0
anthropic_sonnet_4_6,T_factlocked,1.0
anthropic_sonnet_4_6,T_free_case_hint_no_sections,1.0
anthropic_sonnet_4_6,T_free_schema_prompt,0.8333333333333334
anthropic_sonnet_4_6,T_oracle_contract_private_prose,1.0
anthropic_sonnet_4_6,T_oracle_text,1.0
anthropic_sonnet_4_6,T_self_contract_private_prose,1.0
anthropic_sonnet_4_6,eta,
